Protein_1	Protein_2	LRBS	RRBS
S000000039	S000003302	1.7126497016272113	0.024987893462469733
S000000039	S000004363	1.739572344450092	0.024073668055251043
S000000039	S000004582	1.4661258704181992	0.021058315334773217
S000000039	S000005195	1.4608978427565478	0.019700068166325833
S000000041	S000004831	1.5145477526602862	0.016973786659745655
S000000041	S000004903	1.4996870826184039	0.023912220961029136
S000000042	S000002680	1.41161970596323	0.055783783783783784
S000000042	S000002814	1.4771212547196624	0.016882386043894203
S000000045	S000002703	1.4517864355242902	0.021669218989280245
S000000046	S000000808	1.4996870826184039	0.026083367725959556
S000000046	S000001380	1.436162647040756	0.029673913043478262
S000000046	S000001763	1.505149978319906	0.03256997455470738
S000000046	S000003178	1.4712917110589385	0.032438356164383564
S000000046	S000003924	1.4712917110589385	0.020392697209782984
S000000046	S000004252	1.4548448600085102	0.03156146179401993
S000000046	S000005124	1.5092025223311027	0.03151219512195122
S000000046	S000005248	1.5145477526602862	0.02923558337058561
S000000046	S000006138	1.4828735836087537	0.01595800524934383
S000000048	S000000986	1.530199698203082	0.01779527559055118
S000000048	S000001392	1.655618583541222	0.0219234496124031
S000000048	S000001842	1.5763413502057928	0.024097155640779803
S000000048	S000002441	1.640481436970422	0.023006054224796
S000000048	S000002621	1.6288995644206066	0.020965755112096574
S000000048	S000002711	1.6794278966121188	0.02409274193548387
S000000048	S000002829	1.5987905067631152	0.01922983773310729
S000000048	S000002928	1.6384892569546374	0.02309530130076984
S000000048	S000003520	1.5403294747908738	0.02201776649746193
S000000048	S000003625	1.568201724066995	0.01939203354297694
S000000048	S000003977	1.61066016308988	0.02097147262914418
S000000048	S000004088	1.5965970956264601	0.022571428571428572
S000000048	S000004218	1.6232492903979006	0.021863612701717855
S000000048	S000004256	1.6364878963533653	0.024062239510975268
S000000048	S000004268	1.6324572921847242	0.01737193763919822
S000000048	S000004541	1.608526033577194	0.019708737864077668
S000000048	S000005346	1.6424645202421213	0.0257402521254764
S000000048	S000005449	1.5634810853944108	0.017039106145251396
S000000048	S000005688	1.6683859166900001	0.024245577523413112
S000000048	S000005698	1.60422605308447	0.021213720316622692
S000000048	S000005864	1.4828735836087537	0.016287168497187247
S000000048	S000005890	2.8796692056320534	0.36078058067586866
S000000048	S000005907	1.5854607295085006	0.023319200484554815
S000000048	S000006383	1.4548448600085102	0.016216216216216217
S000000049	S000002177	1.4608978427565478	0.013612812058407912
