geneSymbol	diseaseClass	diseaseClassLabel
MAGI1	D009358	11
MAGI2	D009358	11
MAK	D005128	4
MAL	D009369	12
MAML3	D009369	12
MAOA	D004066	2
MAOB	D013568	17
MAP2	D005261	5
MAP2K1	D002318	1
MAP2K2	D002318	1
MAP2K6	D007154	7
MAP2K7	D002318	1
MAP3K5	D002318	1
MAP3K7	D004066	2
MAP3K8	D002318	1
MAP4	D013568	17
MAPK1	D013568	17
MAPK11	D002318	1
MAPK13	D004066	2
MAPK14	D004066	2
MAPK3	D013568	17
MAPK6	D013568	17
MAPK8	D009369	12
MAPK9	D009369	12
MAPKAPK3	D009369	12
MAPRE1	D002318	1
MAPRE3	D005261	5
MAPT	D009422	13
MARCHF6	D009422	13
MARCKS	D009369	12
MARK2	D009369	12
MAS1	D002318	1
MASP2	D013568	17
MASTL	D006425	6
MAT1A	D004066	2
MAX	D009369	12
MBL2	D009422	13
MBOAT1	D004066	2
MBP	D009422	13
MC1R	D009369	12
MC2R	D002318	1
MC4R	D009750	14
MCL1	D009369	12
MCM4	D007154	7
MCM5	D064419	21
MDH1	D012140	16
MDH2	D009369	12
MDK	D009369	12
MDM2	D009369	12
MDM4	D009369	12
ME1	D013568	17
MECOM	D006425	6
MECP2	D012140	16
MED1	D005261	5
MED12	D009369	12
MED13	D013568	17
MED14	D005261	5
MED16	D005261	5
MED17	D005261	5
MED4	D005261	5
MEF2C	D009422	13
MEF2D	D009422	13
MEFV	D017437	19
MELTF	D009369	12
MEN1	D004700	3
MEOX2	D002318	1
MERTK	D009369	12
MESP2	D009140	10
MEST	D013568	17
MET	D009369	12
METRNL	D009750	14
MFF	D002318	1
MFN2	D013568	17
MGA	D009369	12
MGAT2	D005261	5
MGAT5	D007239	8
MGME1	D012140	16
MGMT	D009369	12
MGP	D005261	5
MGST1	D009422	13
MIA3	D002318	1
MICA	D009057	9
MICB	D007239	8
MICU1	D009422	13
MIER2	D009369	12
MIF	D009369	12
MINPP1	D009369	12
MIP	D005128	4
MITF	D009358	11
MKI67	D009422	13
MKKS	D009358	11
MKNK1	D064419	21
MKRN3	D004700	3
MKS1	D009358	11
MLC1	D009358	11
MLF1	D009369	12
MLLT10	D009369	12
MMP1	D004066	2
MMP10	D017437	19
MMP11	D005261	5
MMP12	D005261	5
MMP14	D012140	16
MMP15	D005261	5
MMP19	D005261	5
MMP2	D012140	16
MMP21	D017437	19
MMP26	D005261	5
MMP3	D012140	16
MMP7	D005261	5
MMP8	D017437	19
MMP9	D012140	16
MN1	D009369	12
MOBP	D064419	21
MOCOS	D002318	1
MOG	D009422	13
MON1A	D009750	14
MORF4L1	D009369	12
MPC1	D064419	21
MPDZ	D064419	21
MPIG6B	D006425	6
MPO	D009422	13
MPP1	D009369	12
MPP7	D064419	21
MPRIP	D013568	17
MPST	D009369	12
MPV17	D009750	14
MPZ	D013568	17
MPZL1	D009369	12
MRAP	D004700	3
MRAS	D002318	1
MRC1	D009750	14
MRC2	D009369	12
MRE11	D009369	12
MRPL13	D013568	17
MRPS11	D013568	17
MRPS18B	D013568	17
MRPS6	D002318	1
MS4A1	D007154	7
MS4A2	D007154	7
MSH2	D009369	12
MSH3	D013568	17
MSH6	D013568	17
MSL3	D013568	17
MSLN	D009369	12
MSN	D002318	1
MSRA	D064419	21
MST1	D004066	2
MSTN	D002318	1
MSX1	D009358	11
MSX2	D005261	5
MT1A	D004066	2
MT2A	D009369	12
MT3	D012140	16
MT4	D064419	21
MTA1	D005261	5
MTA2	D005261	5
MTAP	D009369	12
MTARC1	D064419	21
MTARC2	D064419	21
MTCL1	D012140	16
MTHFD1	D005261	5
MTHFR	D009422	13
MTNR1A	D005128	4
MTOR	D012140	16
MTPAP	D009369	12
MTR	D009422	13
MTRR	D009369	12
MTTP	D004066	2
MUC1	D009369	12
MUC2	D009369	12
MUC4	D005261	5
MUTYH	D009369	12
MVK	D013568	17
MX1	D009369	12
MX2	D009369	12
MYB	D009369	12
MYBL1	D009369	12
MYBPC3	D002318	1
MYC	D002318	1
MYCBP	D009369	12
MYCL	D009369	12
MYCN	D009369	12
MYD88	D013568	17
MYH10	D009422	13
MYH11	D009369	12
MYH6	D002318	1
MYH7	D002318	1
MYH9	D006425	6
MYL2	D002318	1
MYL3	D002318	1
MYL4	D002318	1
MYL9	D009422	13
MYLIP	D005261	5
MYLK	D004066	2
MYLK2	D002318	1
MYO10	D013568	17
MYO1B	D013568	17
MYO5A	D009422	13
MYO5B	D004066	2
MYO5C	D064419	21
MYO6	D064419	21
MYO7A	D009358	11
MYOC	D005128	4
MYOCD	D002318	1
MYOD1	D009369	12
MYOM1	D002318	1
MYOT	D009422	13
MYOZ2	D002318	1
MYPN	D002318	1
MYSM1	D006425	6
N4BP2L2	D017437	19
NAB2	D009369	12
NABP1	D009369	12
NACC1	D009369	12
NADSYN1	D009358	11
NAGA	D009422	13
NAGS	D013568	17
NAMPT	D009369	12
NANOG	D009369	12
NANS	D009140	10
NAP1L4	D064419	21
NAT1	D009369	12
NAT2	D002318	1
NAV3	D064419	21
NAXD	D013568	17
NBAS	D013568	17
NBN	D009057	9
NCAM1	D005261	5
NCF1	D002318	1
NCF4	D004066	2
NCL	D002318	1
NCOA1	D005261	5
NCOA3	D009369	12
NCOA6	D005261	5
NCOR1	D009369	12
NCR3	D007239	8
NCS1	D064419	21
NCSTN	D009422	13
NDC1	D013568	17
NDN	D009369	12
NDNF	D005261	5
NDP	D005128	4
NDRG1	D009369	12
NDRG2	D005128	4
NDUFA1	D009750	14
NDUFA10	D009750	14
NDUFA11	D009750	14
NDUFA13	D009750	14
NDUFA2	D009750	14
NDUFA6	D009750	14
NDUFA8	D009750	14
NDUFAF1	D009750	14
NDUFAF2	D009750	14
NDUFAF3	D009750	14
NDUFAF4	D009750	14
NDUFAF5	D009750	14
NDUFB10	D009750	14
NDUFB11	D009750	14
NDUFB3	D009750	14
NDUFB8	D009750	14
NDUFB9	D009750	14
NDUFS1	D002318	1
NDUFS2	D009750	14
NDUFS3	D009750	14
NDUFS4	D009750	14
NDUFS5	D009750	14
NDUFS6	D009750	14
NDUFS7	D009750	14
NDUFS8	D009750	14
NDUFV1	D009750	14
NDUFV2	D009750	14
NDUFV3	D009750	14
NEBL	D002318	1
NECTIN1	D007239	8
NECTIN2	D009369	12
NEDD4	D002318	1
NEDD4L	D005261	5
NEFH	D009422	13
NEFM	D005261	5
NEIL1	D004066	2
NEK1	D009358	11
NEK7	D013568	17
NEK8	D009358	11
NELFA	D009358	11
NES	D009422	13
NEU1	D009422	13
NEUROD1	D009422	13
NEXN	D002318	1
NF1	D009369	12
NF2	D009369	12
NFATC2	D009422	13
NFE2L2	D012140	16
NFIB	D009369	12
NFKB1	D007154	7
NFKB2	D007154	7
NFKBIA	D009369	12
NFKBIE	D009369	12
NFU1	D009750	14
NFXL1	D004066	2
NGF	D009422	13
NGFR	D009422	13
NHLRC1	D009422	13
NIBAN1	D004066	2
NID1	D013568	17
NIPBL	D009140	10
NKX2-1	D012140	16
NKX2-3	D004066	2
NKX2-5	D009358	11
NLGN4X	D064419	21
NLK	D009369	12
NLRC4	D004066	2
NLRP3	D005128	4
NME1	D002318	1
NME2	D009369	12
NME8	D012140	16
NMNAT1	D013568	17
NMNAT2	D009369	12
NMUR2	D064419	21
NOD1	D009422	13
NOD2	D004066	2
NODAL	D009358	11
NOG	D009140	10
NOL3	D009750	14
NONO	D009750	14
NOP16	D009369	12
NOP56	D013568	17
NOS1	D004066	2
NOS2	D009369	12
NOS3	D002318	1
NOTCH1	D009369	12
NOTCH2	D009140	10
NOTCH2NLC	D009422	13
NOTCH3	D009369	12
NOTCH4	D009369	12
NOX1	D002318	1
NOX4	D002318	1
NPAP1	D009369	12
NPC1	D007239	8
NPHP1	D009358	11
NPHP3	D009358	11
NPHP4	D009358	11
NPL	D004066	2
NPM1	D009369	12
NPPA	D002318	1
NPPB	D002318	1
NPPC	D013568	17
NPR1	D002318	1
NPR2	D009140	10
NPR3	D013568	17
NPRL2	D009422	13
NPRL3	D009422	13
NPSR1	D064419	21
NPTN	D002318	1
NPTX2	D064419	21
NPY	D009422	13
NPY1R	D064419	21
NPY2R	D009422	13
NPY5R	D064419	21
NQO1	D004066	2
NQO2	D017437	19
NR0B1	D004700	3
NR0B2	D004066	2
NR1D1	D004066	2
NR1D2	D005261	5
NR1H2	D004066	2
NR1H3	D004066	2
NR1H4	D009358	11
NR1I2	D013568	17
NR1I3	D009750	14
NR2C1	D005261	5
NR2C2	D005261	5
NR2E3	D005128	4
NR2F2	D005261	5
NR2F6	D005261	5
NR3C1	D009750	14
NR3C2	D002318	1
NR4A1	D009750	14
NR4A2	D017437	19
NR4A3	D009750	14
NR5A1	D005261	5
NR5A2	D004066	2
NRAS	D009369	12
NRCAM	D064419	21
NRDC	D064419	21
NREP	D004066	2
NRF1	D009369	12
NRG1	D002318	1
NRIP1	D002318	1
NRK	D009358	11
NRL	D005128	4
NRP1	D005261	5
NRXN1	D009358	11
NRXN3	D064419	21
NSD1	D009369	12
NSD2	D009358	11
NSDHL	D009369	12
NSF	D064419	21
NSMF	D009369	12
NT5C2	D009369	12
NT5C3A	D017437	19
NTF3	D009422	13
NTF4	D005128	4
NTN1	D009422	13
NTRK1	D009369	12
NTRK2	D009369	12
NTRK3	D009369	12
NTS	D064419	21
NTSR1	D064419	21
NUBPL	D009750	14
NUMA1	D009369	12
NUP205	D009140	10
NUP214	D009369	12
NUP98	D009369	12
NUPR1	D002318	1
NUS1	D009369	12
OAS1	D012140	16
OAT	D004066	2
OBSCN	D002318	1
OC90	D010038	15
OCA2	D005128	4
OCLN	D009369	12
ODC1	D009369	12
OFD1	D009358	11
OGG1	D009369	12
OLFM4	D005261	5
OLR1	D002318	1
OPA1	D013568	17
OPRD1	D064419	21
OPRK1	D064419	21
OPRL1	D064419	21
OPRM1	D064419	21
OPTN	D005128	4
ORAI1	D002318	1
ORM1	D004066	2
ORMDL3	D004066	2
OSBPL5	D064419	21
OSBPL8	D013568	17
OSM	D017437	19
OSR2	D005261	5
OTC	D013568	17
OTX2	D009369	12
OVOL1	D009369	12
OVOL2	D009369	12
OXCT1	D009750	14
OXSR1	D002318	1
OXT	D013568	17
OXTR	D013568	17
P2RX2	D009422	13
P2RX4	D009422	13
P2RX7	D009422	13
P2RY1	D002318	1
P2RY12	D002318	1
P3H2	D005128	4
P4HB	D002318	1
P4HTM	D009422	13
PA2G4	D013568	17
PABPC1	D009369	12
PACS1	D064419	21
PADI3	D017437	19
PADI4	D009369	12
PAEP	D005261	5
PAK1	D009369	12
PALB2	D006425	6
PALLD	D013568	17
PAN2	D004066	2
PANK2	D009422	13
PANX1	D004066	2
PAPPA	D002318	1
PARK7	D009422	13
PARN	D012140	16
PARP1	D012140	16
PARVA	D064419	21
PASK	D013568	17
PATJ	D064419	21
PAWR	D009369	12
PAX1	D009358	11
PAX2	D005261	5
PAX3	D009358	11
PAX4	D009369	12
