Gene_1	Gene_2	Expression_Value
S000002790	S000001608	0.494946
S000004642	S000005164	0.45065816
S000001788	S000004926	0.53291938
S000004957	S000004574	0.55338385
S000005668	S000005713	0.65489003
S000004223	S000001079	0.49375837
S000001921	S000003733	0.46308521
S000001085	S000003123	0.43954449
S000005316	S000001515	0.42379791
S000003315	S000006284	0.54915194
S000006345	S000002393	0.65399226
S000001809	S000005622	0.65116899
S000005499	S000006050	0.56887713
S000005862	S000002309	0.51650045
S000005859	S000001855	0.55223452
S000001221	S000005340	0.42484075
S000006040	S000003088	0.48104178
S000003105	S000004920	0.46622817
S000006230	S000004873	0.49898033
S000005999	S000001945	0.54355825
S000000861	S000003103	0.60487188
S000000925	S000003436	0.58474597
S000004105	S000002984	0.46523563
S000002329	S000005040	0.48353602
S000000870	S000005601	0.43218935
S000003008	S000001621	0.44257205
S000000050	S000005710	0.64683201
S000005457	S000003121	0.56901639
S000003115	S000001551	0.45769754
S000004430	S000001767	0.643644
S000002911	S000006269	0.46060907
S000006326	S000006040	0.64278196
S000001271	S000001788	0.59557127
S000005686	S000002479	0.51577153
S000004029	S000004623	0.677659
S000001857	S000000098	0.61752234
S000001900	S000000605	0.42810844
S000004263	S000002800	0.56395917
S000003968	S000000996	0.59257685
S000004035	S000003452	0.53699846
S000002223	S000000829	0.59203894
S000001742	S000005324	0.47729279
S000003813	S000003725	0.50656022
S000005256	S000003436	0.58585644
S000002764	S000006096	0.46681841
S000005563	S000003487	0.44829347
S000005429	S000002461	0.44206903
S000002739	S000004264	0.4878478
S000005074	S000005065	0.46431077
S000005005	S000005950	0.4288261
S000002354	S000001159	0.50241786
S000001102	S000001278	0.42873657
S000005559	S000005006	0.49506082
S000000110	S000000178	0.46506979
S000002835	S000002793	0.52029605
S000005111	S000004289	0.47764856
S000001025	S000000810	0.45436736
S000002245	S000003319	0.48285946
S000005463	S000005324	0.50738396
S000001170	S000000252	0.60066215
S000006115	S000002290	0.66857389
S000004346	S000002987	0.5566075
S000006049	S000004124	0.6187528
S000003093	S000006314	0.61533293
S000000197	S000005553	0.44786037
S000000101	S000004334	0.58115631
S000006315	S000001949	0.57541735
S000003755	S000004433	0.57752802
S000005026	S000005399	0.44037649
S000005986	S000007294	0.657783
S000002923	S000005106	0.43243616
S000005787	S000003908	0.60560001
S000002891	S000004884	0.5217494
S000002755	S000000126	0.66872822
S000006116	S000002333	0.67603789
S000004564	S000003543	0.54322426
S000003148	S000003088	0.59229538
S000005191	S000000750	0.55701374
S000003898	S000004884	0.57537684
S000000667	S000006169	0.45833981
S000000931	S000002419	0.45682606
S000003398	S000006093	0.46643422
S000002236	S000005508	0.42612264
S000001486	S000002855	0.44182278
S000004254	S000003394	0.58767683
S000004291	S000003900	0.50604027
S000001378	S000004289	0.51422192
S000005037	S000001012	0.45415897
S000005642	S000005587	0.62986635
S000005499	S000004951	0.44579211
S000006380	S000002879	0.67916228
S000002489	S000002671	0.68687683
S000002977	S000000243	0.50633919
S000000818	S000003044	0.45071242
S000002790	S000003008	0.60292586
S000002807	S000003177	0.53256094
S000001710	S000004527	0.58340182
S000006382	S000005993	0.51498134
S000000927	S000000452	0.51151635
S000000595	S000001412	0.63014546
S000004143	S000002879	0.52432289
S000002549	S000002826	0.64808229
S000001710	S000000070	0.51035798
S000001628	S000000451	0.46209028
S000001839	S000004045	0.49534691
S000001562	S000002750	0.46768507
S000005516	S000002227	0.46969302
S000006011	S000004916	0.65971845
S000005372	S000003949	0.64018859
S000005667	S000000154	0.44786185
S000000039	S000005950	0.6155451
S000004614	S000001856	0.65032707
S000001461	S000004877	0.54106386
S000006326	S000000776	0.62727936
S000003317	S000000649	0.63426793
S000002432	S000001551	0.57501671
S000002946	S000004623	0.65341456
S000005727	S000004095	0.44313093
S000000010	S000005622	0.54894326
S000006233	S000005667	0.5046691
S000001856	S000003949	0.48965896
S000005429	S000005446	0.64757144
S000000596	S000004197	0.4905128
S000006066	S000000326	0.53212791
S000001679	S000004981	0.49549814
S000006385	S000005423	0.5196617
S000005648	S000001278	0.53764266
S000000117	S000001696	0.66881374
S000003016	S000001324	0.42686069
S000004440	S000005780	0.54900315
S000005483	S000005683	0.49115577
S000001722	S000006175	0.45344934
S000003170	S000003315	0.56753547
S000001765	S000005373	0.47593127
S000000780	S000002589	0.64525386
S000002764	S000001596	0.43404104
S000005160	S000004364	0.4770397
S000003391	S000006336	0.62215419
S000002555	S000003088	0.44231913
S000003030	S000001138	0.45785421
S000006169	S000000786	0.43815516
S000002764	S000003999	0.4485197
S000000390	S000003825	0.56464372
S000003538	S000002284	0.55152579
S000000684	S000006036	0.51417618
S000005214	S000005289	0.68803765
S000003646	S000006011	0.54495852
S000005560	S000006011	0.49986953
S000000333	S000003174	0.43688651
S000000644	S000002796	0.69073445
S000005736	S000000118	0.49740703
S000000175	S000001633	0.52837469
S000005227	S000004493	0.53128755
S000003137	S000005165	0.64336655
S000004528	S000003416	0.42449
S000003420	S000005366	0.44186853
S000000735	S000006011	0.64284745
S000001926	S000000392	0.47576601
S000001556	S000001849	0.50250807
S000006036	S000002827	0.54920835
S000000287	S000001806	0.43964395
S000000970	S000004028	0.54689338
S000002563	S000004519	0.47814768
S000001197	S000003966	0.45157983
S000003017	S000003780	0.61469367
S000003646	S000003780	0.67299295
S000005381	S000001213	0.49179754
S000003292	S000005177	0.52152474
S000000164	S000004775	0.4589958
S000003269	S000004132	0.58288501
S000005005	S000004735	0.67620747
S000005503	S000006069	0.50857781
S000005381	S000003570	0.46050809
S000000911	S000000011	0.58369163
S000003026	S000001410	0.52623716
S000005463	S000005694	0.45905633
S000006390	S000002206	0.60765478
S000001849	S000003713	0.57143016
S000005463	S000004539	0.4737452
S000006027	S000000212	0.42684169
S000003310	S000003203	0.50844947
S000000931	S000003441	0.64754541
S000000225	S000003045	0.44014384
S000005429	S000001297	0.61359421
S000005430	S000004918	0.65058688
S000002584	S000001097	0.42518598
S000005295	S000005780	0.45226579
S000000896	S000005605	0.4360519
S000000010	S000001183	0.5334141
S000002678	S000002583	0.48893383
S000003224	S000000499	0.56083714
S000003837	S000005366	0.51200485
S000001049	S000003326	0.45537963
S000000274	S000000426	0.47113472
S000000536	S000000996	0.47361271
S000003425	S000003224	0.47059575
S000004178	S000002206	0.44042782
S000003193	S000004007	0.50439225
S000006191	S000001487	0.60085233
S000003071	S000000230	0.47131296
S000001251	S000000334	0.43454781
S000001170	S000000238	0.51619732
S000000456	S000004685	0.51444934
S000004775	S000000022	0.59876174
S000000409	S000004920	0.42746619
S000001307	S000005468	0.55998841
S000002314	S000000163	0.45793864
S000004629	S000006342	0.44307122
S000005446	S000005958	0.58843842
S000002550	S000004490	0.47492209
S000005393	S000005922	0.48041619
S000001494	S000003176	0.42481634
S000005605	S000001499	0.51250688
S000006233	S000000291	0.50349391
S000001932	S000004440	0.42836441
S000001906	S000004206	0.50452524
S000005180	S000006214	0.48214599
S000000829	S000000859	0.54967274
S000005341	S000005760	0.44391698
S000005964	S000000845	0.61231923
S000000241	S000001410	0.46123275
S000002664	S000006119	0.5072879
S000006013	S000001633	0.51980952
S000000455	S000005713	0.52029829
S000000737	S000004110	0.48835025
S000000784	S000005662	0.43436857
S000004095	S000000757	0.62315691
S000001805	S000001495	0.6278919
S000001540	S000001515	0.55540179
S000002239	S000005412	0.59923192
S000004124	S000004622	0.47702388
S000003860	S000003103	0.53798171
S000000240	S000005097	0.42709727
S000000447	S000004105	0.49659894
S000001933	S000004493	0.43952169
S000002525	S000006251	0.46383347
S000003661	S000002826	0.44543836
S000005321	S000004711	0.42964101
S000001337	S000002165	0.55556112
S000002549	S000005643	0.44850759
S000005290	S000002635	0.51035397
S000004642	S000006002	0.62777873
S000004267	S000004286	0.5498163
S000002706	S000002419	0.62437345
S000005856	S000000863	0.45670591
S000000827	S000002453	0.48376033
S000006345	S000003478	0.46176389
S000005685	S000003884	0.4290909
S000004279	S000005978	0.52719882
S000003837	S000003949	0.5184213
S000003407	S000006220	0.61037018
S000000618	S000004431	0.43614045
S000001550	S000000824	0.50490741
S000005290	S000003726	0.43613353
S000004347	S000002879	0.69260114
S000005978	S000006052	0.45468388
S000003262	S000003563	0.53884046
S000000892	S000005843	0.55750901
S000000490	S000004463	0.56154938
S000001232	S000001878	0.50176675
S000003399	S000000154	0.52416082
S000004442	S000005643	0.48741724
S000004837	S000000562	0.63289692
S000004821	S000004816	0.46712344
S000000916	S000001499	0.63200936
S000006308	S000002233	0.44041102
S000004603	S000001612	0.47921281
S000001521	S000001612	0.55470938
S000000117	S000005694	0.4323304
S000002383	S000004736	0.49849142
S000000950	S000001055	0.63155682
S000000844	S000002796	0.46479172
S000003610	S000001742	0.6026901
S000001063	S000000514	0.49688052
S000000780	S000001695	0.61482215
S000004674	S000004029	0.58403913
S000002187	S000004018	0.67366303
S000002994	S000000163	0.6210825
S000001722	S000000689	0.45615105
S000003006	S000002571	0.45733226
S000000451	S000004332	0.57842529
S000005097	S000004607	0.46752837
S000006094	S000000786	0.56050194
S000004200	S000004535	0.51150797
S000001206	S000003563	0.42878609
S000001161	S000001405	0.62387986
S000001111	S000001664	0.66068627
S000003478	S000001776	0.47167825
S000002461	S000000331	0.49518814
S000001562	S000001906	0.60554095
S000003657	S000002946	0.59287515
S000003860	S000004046	0.56063711
S000004422	S000005221	0.4396293
S000003262	S000004798	0.453769
S000002916	S000002921	0.55877061
S000001012	S000001839	0.51315708
S000005561	S000004071	0.46937276
S000001807	S000003806	0.66590909
S000003105	S000005106	0.43625276
S000000399	S000002479	0.43471896
S000004595	S000003315	0.45195159
S000002673	S000001204	0.6140741
S000005997	S000000792	0.46166426
S000002578	S000001138	0.46393538
S000001528	S000005016	0.67818938
S000002486	S000003801	0.53146748
S000000888	S000003669	0.45736253
S000001507	S000002471	0.57355383
S000006186	S000004535	0.47139534
S000000604	S000003824	0.49045506
S000002871	S000002771	0.57978962
S000005428	S000005654	0.61278243
S000002764	S000003398	0.59125928
S000003178	S000004642	0.47808794
S000002577	S000004613	0.44058394
S000000176	S000004019	0.42658543
S000000728	S000000859	0.5132813
S000002333	S000003837	0.46199128
S000005997	S000004445	0.45534986
S000004674	S000000499	0.43388706
S000001700	S000000828	0.65542462
S000003310	S000004698	0.46940749
S000001557	S000003563	0.5105015
S000006155	S000003376	0.43019573
S000004685	S000002178	0.5061719
S000002172	S000005819	0.56279441
S000000065	S000003222	0.46207474
S000001332	S000005736	0.53032276
S000005844	S000004535	0.47623499
S000000684	S000002493	0.66692993
S000004153	S000000545	0.48370087
S000004698	S000002805	0.43188522
S000002971	S000000953	0.43055657
S000002333	S000001405	0.53171151
S000005643	S000000559	0.45776252
S000003209	S000003624	0.58596558
S000001401	S000000963	0.63202259
S000000292	S000003834	0.43108043
S000005727	S000003727	0.46527446
S000000123	S000000854	0.47308963
S000001328	S000004534	0.49291739
S000002164	S000002536	0.50550258
S000004543	S000000876	0.54691083
S000005949	S000000502	0.47830029
S000003744	S000004613	0.50700425
S000005625	S000001134	0.44380541
S000004660	S000000947	0.67989886
S000000486	S000006027	0.68592521
S000001310	S000003341	0.45907978
S000000249	S000004641	0.52125
S000004223	S000003038	0.54043884
S000000870	S000004286	0.63078257
S000004477	S000001424	0.4730869
S000003472	S000005122	0.52206761
S000003222	S000002219	0.64868225
S000000970	S000004004	0.61332638
S000003588	S000001473	0.48588459
S000002671	S000005400	0.58109085
S000001378	S000005079	0.60921372
S000000890	S000000737	0.43444144
S000003931	S000002879	0.59868127
S000000319	S000004421	0.53447339
S000000663	S000000816	0.45836289
S000004376	S000000545	0.47986921
S000000028	S000004143	0.44889856
S000003134	S000002730	0.55117141
S000003690	S000003317	0.44293613
S000004674	S000002418	0.60850946
S000006336	S000005422	0.45466735
S000002731	S000003115	0.4558078
S000002998	S000004810	0.49398879
S000000870	S000000896	0.44758118
S000004570	S000000861	0.5736688
S000004639	S000003174	0.58211153
S000005552	S000005230	0.49909165
S000006015	S000002790	0.4605833
S000002314	S000002187	0.50865151
S000005404	S000003783	0.63136785
S000005889	S000005787	0.58672982
S000005005	S000002849	0.47963322
S000000249	S000004915	0.50135339
S000000400	S000002203	0.47463881
S000001111	S000004830	0.58632976
S000006073	S000002581	0.50617618
S000003755	S000003008	0.56373913
S000002731	S000003484	0.50261556
S000004033	S000005565	0.4668795
S000002635	S000002162	0.51482618
S000003452	S000005932	0.4537834
S000004526	S000001266	0.48567126
S000003690	S000001608	0.56483392
S000003472	S000004714	0.54111698
S000000249	S000005694	0.53290107
S000006290	S000003403	0.60037808
S000005483	S000001700	0.42786514
S000004065	S000006161	0.59845157
S000002385	S000006049	0.42553573
S000005046	S000004494	0.44937548
S000002664	S000003224	0.43185961
S000005683	S000005324	0.52666717
S000001401	S000004065	0.56166626
S000002353	S000002666	0.53931442
S000006040	S000001664	0.68415591
S000001456	S000003137	0.45997149
S000006345	S000003945	0.64482363
S000001841	S000001218	0.67946938
S000002536	S000005289	0.50536104
S000005924	S000002814	0.67219361
S000003838	S000000750	0.46183856
S000000911	S000000487	0.43802097
S000005974	S000005122	0.4809891
S000000888	S000002749	0.62043547
S000001133	S000000010	0.51910616
S000005509	S000006264	0.44390061
S000004385	S000005758	0.60489576
S000001057	S000001722	0.44565671
S000002404	S000001207	0.51827943
S000004506	S000004351	0.63142939
S000006133	S000002578	0.48321724
S000002971	S000002461	0.51910087
S000003178	S000001696	0.69264408
S000003068	S000001084	0.4419088
S000003646	S000004830	0.51024481
S000002982	S000005364	0.43650258
S000001011	S000000781	0.46861913
S000004035	S000001550	0.47345851
S000005483	S000002619	0.59267831
S000002596	S000000138	0.561181
S000002731	S000005462	0.5857112
S000002667	S000001547	0.4837453
S000004181	S000000426	0.46814194
S000006119	S000005075	0.67925361
S000003538	S000004494	0.59191654
S000000729	S000001396	0.46456703
S000002701	S000002831	0.57465664
S000004997	S000006081	0.55470832
S000004105	S000003398	0.44385211
S000005978	S000003733	0.67443298
S000005404	S000003739	0.60328047
S000002238	S000004539	0.43605983
S000004282	S000005589	0.61609926
S000003452	S000002214	0.49172069
S000001003	S000005055	0.4337852
S000000523	S000001949	0.51237341
S000005429	S000003646	0.63089506
S000002619	S000001695	0.51061717
S000001883	S000000400	0.44239879
S000002260	S000005234	0.56039586
S000005529	S000004948	0.44310588
S000003745	S000004794	0.46020376
S000003280	S000002419	0.67258294
S000006036	S000000122	0.48695534
S000005226	S000000451	0.57122446
S000001855	S000002785	0.6773655
S000002217	S000002589	0.4808809
S000000919	S000001179	0.42775062
S000001699	S000005710	0.43784159
S000004984	S000003949	0.42455479
S000003638	S000005844	0.57879485
S000001541	S000000789	0.46713694
S000003624	S000004332	0.68739432
S000001007	S000003733	0.6012924
S000000447	S000004351	0.48161452
S000004439	S000005929	0.49524603
S000000914	S000006032	0.46486091
S000000916	S000003551	0.4495212
S000006191	S000005885	0.68626634
S000002770	S000002998	0.54853612
S000006093	S000005079	0.47516655
S000001855	S000003260	0.68543616
S000005727	S000005527	0.42619065
S000005999	S000003679	0.6092881
S000002418	S000002562	0.44344364
S000003225	S000005569	0.54322593
S000004467	S000000845	0.66362548
S000005605	S000002868	0.49299265
S000004185	S000006140	0.43273155
S000005324	S000002426	0.45481827
S000000225	S000000964	0.5207452
S000003436	S000004362	0.52769715
S000001932	S000003319	0.559354
S000000041	S000000316	0.47477049
S000002640	S000003570	0.49792173
S000005565	S000005130	0.54412866
S000003006	S000001696	0.56301065
S000002993	S000002432	0.57725477
S000004038	S000000912	0.55425124
S000001421	S000004305	0.61611691
S000005566	S000004430	0.50806178
S000004267	S000002868	0.49288524
S000005070	S000000816	0.60361082
S000002749	S000003115	0.53283016
S000001788	S000004028	0.56403925
S000003829	S000005364	0.44805597
S000001595	S000005621	0.51255499
S000000535	S000003412	0.4365775
S000005369	S000002831	0.46622336
S000005196	S000001650	0.5265166
S000002832	S000002673	0.61652407
S000002296	S000005411	0.52705394
S000004592	S000001106	0.59899994
S000005192	S000005233	0.4492941
S000001030	S000004297	0.47087893
S000005643	S000002432	0.4819801
S000005706	S000000319	0.52202294
S000004732	S000000607	0.60681073
S000000286	S000005669	0.44482516
S000004202	S000006025	0.54510025
S000005686	S000002457	0.46708041
S000003626	S000004124	0.5859378
S000000498	S000001066	0.62199017
S000005503	S000005294	0.54947027
S000004493	S000005422	0.61613096
S000005867	S000003252	0.44377232
S000005837	S000004136	0.6669418
S000004583	S000006239	0.4577967
S000003315	S000004157	0.55966098
S000006290	S000005017	0.55176547
S000003931	S000005756	0.47477227
S000004422	S000003626	0.43551076
S000000601	S000006111	0.47251334
S000006312	S000002466	0.61585661
S000000499	S000001610	0.5077807
S000003496	S000003476	0.6517303
S000004264	S000006349	0.62959869
S000002309	S000004780	0.63589213
S000002802	S000005339	0.49988549
S000000901	S000005553	0.53717239
S000004623	S000004148	0.44944949
S000005191	S000003830	0.45295384
S000001671	S000004128	0.62739748
S000002739	S000005182	0.56470285
S000000036	S000002430	0.66862583
S000003637	S000006180	0.66367168
S000003046	S000000330	0.59784432
S000001589	S000001412	0.43539246
S000000476	S000004646	0.47129449
S000000971	S000004842	0.42380305
S000005763	S000004046	0.46260065
S000003330	S000000199	0.43071207
S000003808	S000003850	0.46117792
S000002253	S000002990	0.48696231
S000004573	S000006036	0.50972042
S000005446	S000004950	0.47281723
S000001171	S000005483	0.59612733
S000003026	S000003315	0.59849893
S000005745	S000000195	0.5669756
S000004641	S000000957	0.43715577
S000003003	S000005250	0.62815185
S000004603	S000000426	0.45622353
S000003222	S000004920	0.57158502
S000000902	S000001612	0.48104798
S000005037	S000001794	0.48433354
S000001507	S000003266	0.58137124
S000005844	S000004234	0.52767178
S000003610	S000001337	0.46031423
S000004181	S000003441	0.64263157
S000004264	S000005694	0.45143717
S000003105	S000003577	0.5120445
S000004840	S000006096	0.47973538
S000003412	S000005693	0.53344374
S000001846	S000003932	0.44002012
S000001505	S000005508	0.47585365
S000005708	S000003716	0.4347864
S000000768	S000004132	0.50769637
S000002635	S000006365	0.58854209
S000003999	S000000330	0.54044531
S000000900	S000006010	0.60323274
S000001022	S000000337	0.43851447
S000005871	S000002206	0.46126625
S000001507	S000004441	0.5778372
S000001108	S000000467	0.43165165
S000005450	S000006174	0.50921162
S000001502	S000001855	0.56194249
S000005321	S000002575	0.60274803
S000006278	S000002350	0.50501511
S000003610	S000000273	0.46489566
S000004223	S000006174	0.52098361
S000001717	S000002371	0.43775215
S000003417	S000000684	0.56206844
S000003780	S000001160	0.44336689
S000005245	S000000373	0.49994533
S000000013	S000004286	0.53769803
S000000273	S000003966	0.43997336
S000000555	S000003947	0.6254755
S000005026	S000001717	0.4353396
S000002731	S000004494	0.46836125
S000000556	S000003826	0.59081775
S000000358	S000004440	0.61778316
S000004093	S000006221	0.49340953
S000003646	S000003123	0.49970587
S000004873	S000001104	0.44071173
S000005258	S000004758	0.55927676
S000002527	S000000919	0.65957806
S000003238	S000005531	0.62573633
S000002574	S000002393	0.46065824
S000000070	S000005867	0.49913653
S000004925	S000004007	0.61029079
S000005702	S000005480	0.46977995
S000005006	S000002753	0.48653446
S000001635	S000001011	0.48663052
S000003865	S000006240	0.49410793
S000000818	S000003071	0.52184663
S000004291	S000001545	0.47805941
S000004981	S000004132	0.45607875
S000004045	S000000763	0.54097715
S000005256	S000002532	0.65322663
S000001404	S000000735	0.63537014
S000001543	S000002156	0.68527063
S000003087	S000003159	0.55737406
S000000426	S000004972	0.46143866
S000000322	S000000347	0.51371579
S000005837	S000005776	0.52338541
S000005787	S000000867	0.42797829
S000003016	S000006180	0.54942414
S000000292	S000005611	0.46966915
S000004897	S000001457	0.49058715
S000002393	S000001106	0.56768171
S000000689	S000000202	0.5191597
S000002301	S000002827	0.56998701
S000002156	S000001356	0.59774362
S000001310	S000005560	0.45138553
S000002493	S000000689	0.50274718
S000000205	S000002549	0.5637366
S000006228	S000000556	0.4452424
S000000336	S000004110	0.66489887
S000001487	S000004920	0.47537206
S000003695	S000003932	0.43882636
S000000254	S000004893	0.43829725
S000000927	S000006391	0.60531973
S000001732	S000005487	0.48740844
S000001806	S000003949	0.55398303
S000006228	S000005632	0.60086952
S000003709	S000005677	0.56385469
S000003452	S000006111	0.42515471
S000005763	S000005654	0.67527911
S000001171	S000004950	0.45670206
S000002525	S000001732	0.47677823
S000003105	S000004915	0.51633399
S000003709	S000004352	0.4288967
S000003110	S000005480	0.43834782
S000002770	S000005423	0.46134165
S000004306	S000001412	0.64121014
S000004095	S000005085	0.45404633
S000005654	S000001080	0.53870392
S000005127	S000001873	0.48706708
S000000451	S000006247	0.62338237
S000003624	S000006247	0.55917614
S000005164	S000002987	0.57513885
S000004305	S000003906	0.62970079
S000000241	S000003502	0.49789137
S000005070	S000004346	0.55992874
S000002319	S000005173	0.47831166
S000003621	S000003157	0.46551575
S000001883	S000003222	0.61590066
S000001767	S000000996	0.58653684
S000004092	S000004528	0.6129614
S000000907	S000002536	0.50915054
S000001849	S000005011	0.55161168
S000005427	S000001097	0.42663049
S000005816	S000000390	0.55025108
S000002661	S000000283	0.62753402
S000001331	S000001624	0.50207991
S000004855	S000003900	0.56691631
S000001499	S000003083	0.65005728
S000002414	S000001108	0.43180932
S000001788	S000006064	0.67256151
S000000479	S000005516	0.54478035
S000004187	S000000330	0.51237844
S000004106	S000002750	0.42870444
S000005095	S000002984	0.45986322
S000003588	S000005564	0.48640263
S000003908	S000005500	0.62762997
S000004289	S000003744	0.46656182
S000006237	S000003149	0.50847283
S000002661	S000004614	0.50214579
S000005153	S000004147	0.42971502
S000006326	S000002971	0.58428408
S000000117	S000004284	0.56157533
S000000180	S000005999	0.65663989
S000002233	S000000129	0.46981933
S000003727	S000005553	0.51907493
S000004583	S000004463	0.55495913
S000005600	S000005611	0.4776732
S000004685	S000004711	0.61482282
S000005163	S000003045	0.4567186
S000000663	S000004306	0.64490848
S000004625	S000007294	0.45755774
S000002580	S000000482	0.60289709
S000000452	S000005321	0.58317044
S000006100	S000001415	0.4528214
S000003646	S000005720	0.48855758
S000004430	S000001866	0.48339174
S000004267	S000001677	0.47665511
S000003488	S000001284	0.44233192
S000004035	S000004539	0.53838242
S000003929	S000006306	0.50107227
S000003506	S000005490	0.52412108
S000005922	S000001508	0.43423218
S000003878	S000002241	0.43426779
S000003932	S000000186	0.53221942
S000003441	S000001490	0.54747222
S000003160	S000002499	0.65744761
S000004883	S000002239	0.46529626
S000003904	S000000924	0.52657346
S000006040	S000004128	0.46263896
S000002832	S000000596	0.51127353
S000002946	S000000392	0.48294864
S000006183	S000000154	0.43380682
S000004421	S000003157	0.43364141
S000003473	S000006183	0.53896826
S000003173	S000003838	0.44703499
S000004543	S000004051	0.58264124
S000003610	S000003637	0.60614803
S000002290	S000003046	0.57057245
S000005552	S000005562	0.46588181
S000000494	S000002578	0.47068112
S000001776	S000004313	0.44518173
S000004506	S000004842	0.51728809
S000001900	S000002264	0.52761485
S000005164	S000001305	0.63397994
S000004526	S000003949	0.51567842
S000003105	S000002879	0.42521271
S000006125	S000002822	0.49147929
S000005017	S000000134	0.4867447
S000003425	S000001857	0.47065891
S000005321	S000001052	0.68404442
S000003563	S000002790	0.50245462
S000004324	S000005531	0.52221081
S000003420	S000004018	0.49128005
S000004224	S000001467	0.49795913
S000000399	S000002461	0.5118562
S000006004	S000002437	0.56310277
S000001769	S000005480	0.50609746
S000003808	S000005897	0.45566811
S000005061	S000001218	0.50148656
S000000013	S000000900	0.62258982
S000004539	S000000022	0.46521922
S000004688	S000006237	0.45849804
S000004434	S000006191	0.54985484
S000006043	S000005659	0.57824213
S000004856	S000005113	0.4928963
S000003865	S000001663	0.44918817
S000001671	S000004346	0.47650471
S000001857	S000002660	0.43160559
S000004441	S000004463	0.43074062
S000002404	S000000335	0.45475496
S000001883	S000000735	0.6879921
S000001736	S000004788	0.4338562
S000001756	S000004148	0.4258225
S000005884	S000003882	0.47184905
S000001532	S000003340	0.59905041
S000006391	S000000422	0.5062769
S000005230	S000004916	0.49514166
S000001628	S000005412	0.46671158
S000004046	S000006066	0.50138826
S000003425	S000002239	0.45514214
S000004258	S000002667	0.44984348
S000002459	S000006312	0.55850875
S000004210	S000002796	0.565783
S000002858	S000000111	0.49770312
S000002577	S000005006	0.43594651
S000000253	S000002393	0.65280501
S000001296	S000002798	0.42630426
S000000010	S000005677	0.44108371
S000001696	S000003864	0.59039798
S000003708	S000001784	0.47089035
S000000907	S000004206	0.46973602
S000001498	S000004642	0.46947378
S000005727	S000000667	0.57992668
S000003927	S000000964	0.45226819
S000003295	S000000548	0.4762333
S000000331	S000001802	0.56733998
S000000829	S000001405	0.49690629
S000002371	S000003727	0.5840527
S000001450	S000000890	0.56264613
S000002770	S000004421	0.58450582
S000002757	S000004884	0.42777883
S000005739	S000005057	0.43286849
S000003929	S000002680	0.47667674
S000006015	S000002706	0.44329946
S000000916	S000001346	0.47686907
S000000164	S000000536	0.50203726
S000002739	S000004915	0.4311969
S000004134	S000004711	0.45798057
S000003071	S000006131	0.59612025
S000005601	S000001633	0.43903019
S000003198	S000006391	0.46541147
S000003545	S000004110	0.52866096
S000003407	S000006229	0.58378283
S000006389	S000000627	0.62729143
S000005890	S000003045	0.4542112
S000005224	S000003637	0.42974722
S000003033	S000000358	0.4509093
S000001640	S000001734	0.53502156
S000005571	S000004856	0.57261553
S000001460	S000001079	0.4758433
S000001628	S000005487	0.61456911
S000006187	S000002642	0.45237248
S000003637	S000001633	0.54822046
S000001664	S000005780	0.42753505
S000003238	S000002640	0.44597902
S000002563	S000005659	0.43865601
S000000117	S000002222	0.57125492
S000006380	S000003295	0.47426774
S000001099	S000005591	0.66278873
S000000205	S000003170	0.51471769
S000002770	S000003626	0.59248842
S000005743	S000000545	0.43599601
S000004254	S000002578	0.55542962
S000002793	S000001278	0.48092209
S000005046	S000005839	0.5195449
S000004527	S000002354	0.62586653
S000000399	S000003011	0.47443439
S000003465	S000000133	0.43329979
S000004433	S000005177	0.4278889
S000000598	S000005591	0.49725085
S000005188	S000000252	0.59943799
S000003410	S000003329	0.45597953
S000000782	S000003223	0.53348414
S000006040	S000000795	0.47856663
S000005037	S000002393	0.64659673
S000005800	S000003780	0.66665962
S000005057	S000000197	0.42982379
S000001197	S000005735	0.61181653
S000000499	S000004794	0.55755434
S000004239	S000000197	0.43715809
S000001694	S000001718	0.46074854
S000004572	S000002245	0.43739293
S000005048	S000003703	0.56300856
S000001710	S000002575	0.55058531
S000004178	S000005552	0.53911367
S000005516	S000005005	0.54626811
S000003637	S000002351	0.4387323
S000004506	S000001531	0.47607636
S000001462	S000003065	0.61894304
S000002487	S000000571	0.46305274
S000001926	S000003431	0.44990619
S000004660	S000002849	0.49139852
S000001906	S000000136	0.47984989
S000004811	S000000349	0.61133427
S000002985	S000005531	0.64123667
S000003160	S000001259	0.51310975
S000004200	S000002785	0.54790412
S000002172	S000005399	0.62237776
S000004801	S000000197	0.44939408
S000005867	S000004484	0.5294887
S000003708	S000000163	0.58505454
S000000447	S000003780	0.49704068
S000005318	S000003304	0.46361333
S000000601	S000000689	0.43979426
S000003550	S000005894	0.45346129
S000001418	S000004968	0.57454509
S000000827	S000001107	0.53431865
S000005262	S000004818	0.54787818
S000001307	S000001564	0.63499295
S000005111	S000003310	0.48880212
S000005324	S000003044	0.43634916
S000005430	S000000283	0.552317
S000006025	S000003725	0.51767126
S000003180	S000001557	0.44811236
S000004556	S000003088	0.57421985
S000000157	S000005686	0.56916099
S000005589	S000004290	0.5171619
S000005079	S000003663	0.45397985
S000002664	S000006000	0.49077337
S000003925	S000005853	0.45283398
S000002457	S000005321	0.59703955
S000004915	S000003083	0.50052852
S000006027	S000001011	0.53810114
S000005559	S000003083	0.62496448
S000003407	S000004120	0.67834039
S000005552	S000000556	0.46403464
S000005456	S000004409	0.52333248
